Name|Position(xyz)|Rotation(xyzw)
pano17|-6.1169953346252,-1.7135102748871,1.6034780740738|-0.0042315181344748,0.0030371532775462,-0.28440573811531,0.95868986845016||
pano18|-5.7627334594727,-3.0217673778534,1.6203699111938|-0.024104304611683,-0.0035588929895312,-0.30640426278114,0.95158958435059||
pano19|-4.8802947998047,-3.2008392810822,1.6102925539017|-0.0048641418106854,-0.0021343796979636,0.3999397456646,0.91652607917786||
pano20|-3.8401174545288,-3.4378750324249,1.6073712110519|-0.0045833508484066,0.0013595483032987,0.47574546933174,0.87957000732422||
pano21|-6.7730526924133,-3.0196959972382,1.606369137764|0.0023970399051905,-0.0018851938657463,0.88738512992859,-0.46101889014244||
pano22|-9.2257127761841,-2.5943078994751,1.6041268110275|0.0041655949316919,-0.0058249309659004,0.95391249656677,-0.29999959468842||
pano23|-12.713108062744,-2.5011682510376,1.5705491304398|-0.0034555315505713,-0.0046893251128495,0.90851449966431,-0.41781282424927||
pano24|-2.1889839172363,1.1967053413391,1.6112716197968|0.0045095537789166,0.0051387683488429,0.93909960985184,0.3435772061348||
pano25|-2.1828298568726,3.8528468608856,1.6063959598541|0.0020421806257218,0.00062594469636679,0.95284187793732,0.30345976352692||
pano26|-1.4857404232025,4.1882367134094,1.5997976064682|-0.0078280651941895,-0.0054851314052939,0.43475931882858,0.90049594640732||
pano27|-0.41443681716919,3.7915458679199,1.6127640008926|-0.0069791050627828,-0.0024262452498078,0.14251171052456,0.9897655248642||
pano28|0.69145733118057,3.144917011261,1.6048352718353|-0.0032163830474019,-0.0005653168191202,-0.011066845618188,0.99993342161179||
pano29|-2.2106454372406,5.3338503837585,1.6079406738281|-0.00095256289932877,-0.0080656232312322,0.97869622707367,0.20515324175358||
pano30|-1.4831002950668,5.4999942779541,1.6010214090347|-0.0058900136500597,-0.0072477357462049,0.51485872268677,0.85722416639328||
pano31|-0.29458692669868,5.9908180236816,1.6073741912842|-0.0036694426089525,-0.00081889372086152,0.72521382570267,0.68851351737976||
pano32|0.77413827180862,6.9200248718262,1.6048107147217|-0.0043349955230951,-0.0021891233045608,0.7597981095314,0.65014100074768||
pano33|-3.4299323558807,5.7335486412048,1.6067782640457|-0.0069426842965186,-0.0069230603985488,0.91059255599976,-0.4131888449192||
pano34|-4.2072291374207,5.4776372909546,1.604255437851|-0.0045910365879536,0.00079028180334717,-0.62372893095016,0.78162688016891||
pano35|-4.1858010292053,4.7752156257629,1.6077427864075|-0.0098322397097945,0.011461392976344,-0.092385418713093,0.99560880661011||
pano36|-4.2295236587524,3.8803427219391,1.6144332885742|-0.0092994486913085,-0.0024954993277788,-0.14555031061172,0.9893040060997||
pano37|-3.8416492938995,5.8341627120972,1.6012188196182|0.0034719887189567,-0.00092799600679427,0.97300356626511,-0.2307620793581||
pano38|-5.0501561164856,5.8395237922668,1.6019742488861|0.0026038594078273,-0.0055667236447334,0.99455219507217,-0.10405848175287||
pano39|-5.9993724822998,5.7825112342834,1.612823009491|0.012593922205269,-0.0088183470070362,0.95420747995377,-0.29875034093857||
pano40|-7.1725397109985,6.2475180625916,1.6106088161469|0.006640360224992,-0.013422282412648,0.9995077252388,-0.027569243684411||
pano41|-8.2323427200317,7.0913062095642,1.603376865387|-0.0014158848207444,-0.0039668311364949,0.99995744228363,-0.0082125356420875||
pano42|-6.4431967735291,7.9909338951111,1.5988029241562|-0.00038264616159722,0.00066012347815558,0.50439041852951,0.86347538232803||
pano43|-5.7555384635925,7.9531626701355,1.5972163677216|-0.0046855788677931,-0.0021943536121398,0.70385158061981,0.71032822132111||
pano44|-4.4495725631714,7.9718084335327,1.5947546958923|-0.0060575185343623,0.0028741562273353,0.37281274795532,0.92788237333298||
